Time (s),Acceleration_RawUnits_s2,Acceleration_mm_s2,Acceleration_g
0.0,13.65444424860176,417.21912981838705,0.042529982652231096
0.01,22.538228660816763,688.6680979694011,0.07020062160748226
0.02,27.799512358181794,849.4295442777769,0.08658812887642986
0.03,6.110568982745162,186.71183002832439,0.019032806322968845
0.04,-67.07936199034269,-2049.6471719271376,-0.20893447216382646
0.05,-184.91626654359638,-5650.219255498778,-0.5759652655962056
0.06,-306.1447952257653,-9354.424298565049,-0.9535600712094852
0.07,-373.2929784120821,-11406.174340369174,-1.1627089031976732
0.08,-339.70435307117805,-10379.85523273044,-1.0580892184230826
0.09,-197.35579385182572,-6030.31592325023,-0.6147111032874852
0.1,15.772280595037772,481.93079595948745,0.04912648276855122
0.11,229.35048232697588,7007.931404435373,0.714366096272719
0.12,373.5399854913001,11413.721778900835,1.1634782649236326
0.13,408.8235932453229,12491.83201582931,1.2733773716441703
0.14,344.11020130857577,10514.478373317592,1.0718122704707025
0.15,225.14824809899304,6879.529803024787,0.7012772480147591
0.16,110.28270005616683,3369.7491683828753,0.34350144427959994
0.17,40.327325686186995,1232.2238404112693,0.12560895417036383
0.18,23.657471845904226,722.867195291518,0.07368676812349827
0.19,38.24514541819754,1168.6016655560359,0.11912351330846441
0.2,52.91943378386027,1616.982698951286,0.16483004066781712
0.21,45.67521992249926,1395.631719854144,0.14226623036229805
0.22,16.668405970363406,509.3124046499929,0.051917676314983986
0.23,-17.586733167268314,-537.3724023331985,-0.054778022663934604
0.24,-36.98018878544549,-1129.9502128886122,-0.11518350793971582
0.25,-32.26747288070604,-985.9505602437955,-0.10050464426542258
0.26,-11.755033564516676,-359.1815811380095,-0.03661382070723848
0.27,8.846208891034099,270.3008272260419,0.02755360114434678
0.28,15.155304328129244,463.07874335950464,0.047204764868451037
0.29,5.44858953214428,166.484680148853,0.016970915407630273
0.3,-9.57588630604113,-292.5965260179234,-0.029826353314773027
0.31,-16.547908267577316,-505.63053039819573,-0.05154235783875594
0.32,-8.464123533978535,-258.6259968715663,-0.026363506306989432
0.33,10.439549140567907,318.98622373957494,0.032516434631964825
0.34,27.674745341295115,845.6172187617951,0.08619951261588125
0.35000000000000003,30.88583991062713,943.7339972691623,0.09620122296321736
0.36,18.32796586095918,560.0211790848638,0.05708676647144381
0.37,-1.8501302561203987,-56.53175782590107,-0.005762666445045981
0.38,-18.09456567840968,-552.8895068402958,-0.05635978662999957
0.39,-21.522126687072046,-657.6205376605346,-0.06703573268710852
0.4,-15.347932255450447,-468.9645966943192,-0.04780474991787148
0.41000000000000003,-9.773524324888426,-298.6354654827019,-0.030441943474281537
0.42,-14.31794119206339,-437.49264753527024,-0.044596600156500535
0.43,-31.187051508069903,-952.9376849688025,-0.09713941742801249
0.44,-52.29421149119547,-1597.8786844531949,-0.16288263857830731
0.45,-64.72433416335902,-1977.6879883248587,-0.20159918331548
0.46,-60.063237004399056,-1835.2655751344155,-0.18708109838271308
0.47000000000000003,-40.037607780818924,-1223.371348858356,-0.12470655951665198
0.48,-16.97573334553589,-518.7029633358188,-0.05287491980997134
0.49,-3.7079441594628673,-113.29829376136539,-0.011549265419099428
0.5,-5.73323054766766,-175.1820445120674,-0.017857496892157737
0.51,-16.379259562643014,-500.4773755252032,-0.05101706172530104
