Time (s),Acceleration_mm_s2,Velocity_mm_s,Displacement_mm
0.0,272.69747503883974,0.0,0.0
0.01,468.72643720781366,3.7071195612332666,0.0184429198171355
0.02,578.100896800393,8.9412562312743,0.08127637478577496
0.03,132.7956602766655,12.495739016659593,0.18751904427031715
0.04,-1393.0987591038615,6.194223522523613,0.27956401268140196
0.05,-3839.8379206480568,-19.970459876235978,0.20962941675827593
0.06,-6357.750665964631,-70.95840280929943,-0.2437898221860541
0.07,-7757.30265807822,-141.53366942951368,-1.2997189324632192
0.08,-7062.836933575295,-215.63436738778125,-3.070131320966945
0.09,-4100.108882825385,-271.44909646978465,-5.478020897053502
0.1,331.3979074158965,-290.2926513468321,-8.245295987955902
0.11,4767.48857709451,-264.79821892428004,-10.965646587614906
0.12,7759.336178836143,-202.16409514462677,-13.233955867169643
0.13,8494.769394776893,-120.89356727656158,-14.774997958379206
0.14,7151.706357287448,-42.66118851623989,-15.514807878656496
0.15,4675.1154181407865,16.472920360901284,-15.567520473336023
0.16,2289.068363257685,51.29383926789364,-15.152543241816087
0.17,840.5316575374673,66.9418393718694,-14.488558024374186
0.18,486.4216157733078,73.57660573842328,-13.71703596982861
0.19,797.215552424687,79.99479157941326,-12.884433088323231
0.2,1100.893646435472,89.48533757371405,-11.976847280344806
0.21,950.3798587617526,99.74170509970017,-10.975558506642846
0.22,348.3091565647893,106.23515017633288,-9.895945859111364
0.23,-365.0929554452936,106.15123118193036,-8.789843882558449
0.24,-764.4833682989569,100.5033495632091,-7.717788123938588
0.25,-668.9457204911592,93.33620411925853,-6.714847403748617
0.26,-239.8114989332378,88.79241802213654,-5.7751832715764335
0.27,174.12530750404974,88.4639870649906,-4.864456739910095
0.28,310.2131956340677,90.88567958068118,-3.9478698646483266
0.29,116.74468330526028,93.02046897537782,-3.013197426258691
0.3,-200.18260562126025,92.60327936379782,-2.074653291139998
0.31,-344.77840311904924,89.87847432009627,-1.156433300106925
0.32,-174.35168197088043,87.28282389464663,-0.26927367498804416
0.33,226.71778108282123,87.54465439020633,0.6018393978540396
0.34,571.1334303423347,91.53391044733212,1.4897460609315234
0.35,646.4072599384148,97.62161389873586,2.4233460642485536
0.36,382.6287114952487,102.76679375590417,3.408161662009145
0.37,-40.28488526194909,104.47851288707068,4.422166254247899
0.38,-371.3895219514728,102.42014085100357,5.429376225323577
0.39,-452.0354845226337,98.30301581863303,6.400827048628402
0.4,-325.53757661326927,94.41515051295352,7.327595790884902
0.41,-200.43249284195429,91.7853001656774,8.217305054056666
0.42,-296.3415444827323,89.30142997905396,9.077125011256424
0.43,-653.2307450337472,84.55356853147157,9.896668003790008
0.44,-1087.740781612433,75.84871089824067,10.645186003933878
0.45,-1347.4757370245156,63.67262830505592,11.286078736450609
0.46,-1246.7358168569494,50.7015705356486,11.798659982000858
0.47,-828.5637405363618,40.32507274868205,12.192524232430399
0.48,-349.6087909637536,34.43421009118147,12.50348904339657
0.49,-72.55714581912657,32.32338040726707,12.773090610909371
0.5,-122.46667063291154,31.348261325006877,13.025991575472885
0.51,-344.9821931469375,29.011017006107632,13.261149027292815
0.52,-455.8623563501554,25.00679425862217,13.463581893198379
0.53,-262.29932081894407,21.41598587277667,13.627217314886098
0.54,196.58898034134023,21.08743417038865,13.770535743026413
0.55,669.7211782170084,25.418984963180392,13.933052499500786
0.56,807.1470072754252,32.80332589064256,14.153043233501052
0.5700000000000001,449.94927912768657,39.08880732265812,14.439941380069717
0.58,-194.87523624909724,40.36417753705106,14.76302027284642
0.59,-721.4147411259407,35.78272765017587,15.068036024788642
0.6,-774.2006309626513,28.30465078973291,15.311530552403243
0.61,-372.8501578795552,22.56939684552188,15.488071286626617
0.62,36.18090562684989,20.886050584258353,15.62682178115664
0.63,-228.12300813433976,19.926340071720904,15.751729315764354
0.64,-1621.9555532061297,10.675947265018557,15.825217048685813
0.65,-3976.1076334195513,-17.314368668109847,15.713064816962007
0.66,-6440.339819449753,-69.39660593245637,15.203112394239382
0.67,-7799.925760940247,-140.59793383440638,14.082373996928043
0.68,-7085.98261357959,-215.02747570700558,12.24272571447488
0.6900000000000001,-4115.788223421539,-271.0363298920112,9.763344653047396
0.7000000000000001,325.0466416398479,-289.9900378009197,6.923421750509827
0.71,4764.817087322052,-264.5407191561102,4.130014125896054
0.72,7760.435421391155,-201.91445661254414,1.7887495558175186
0.73,8495.406204893712,-120.63524848111982,0.17512102519745257
0.74,7148.472009740774,-42.415857407947385,-0.6369338317266441
0.75,4676.415482901811,16.708580055265543,-0.761642867397603
0.76,2288.8396955788407,51.534855947668795,-0.4183235589460167
0.77,840.0827555411557,67.17946820326878,0.1743718214996279
0.78,490.1558632042563,73.83066129699584,0.8750253566559462
0.79,796.8501815897906,80.26569152096607,1.6372795851420272
0.8,1103.5357929839483,89.76762139383477,2.475008918967452
0.81,951.8278873460448,100.04443979548473,3.4069488787894784
0.8200000000000001,341.3755714793606,106.51045708961176,4.417524746398887
0.8300000000000001,-362.084046077798,106.40691471661958,5.454701047402892
0.84,-762.2472823522219,100.78525807446948,6.458208601801545
