Time (s),Acceleration_mm_s2,Velocity_mm_s,Displacement_mm
0.0,355.89433591416446,0.0,0.0
0.01,598.7005097417829,4.772974228279737,0.023864871141398684
0.02,745.3588741990925,11.493271147984114,0.10519609802271793
0.03,167.64745144720396,16.058302776215598,0.2429539676437165
0.04,-1813.23103476748,7.8303848596142185,0.3623974058228656
0.05,-4969.508244114447,-26.083311534795413,0.27113277244695966
0.06,-8227.110002229305,-92.06640276651417,-0.31961579905958826
0.07,-10038.836968324897,-183.39613761928518,-1.696928500988585
0.08,-9142.913848114678,-279.3048917014831,-4.010433647592427
0.09,-5304.281561732938,-351.5408687507212,-7.164662449853449
0.1,429.45568171102417,-375.91499815083074,-10.801941784361208
0.11,6177.278238287749,-342.8813285508369,-14.395923417869547
0.12,10042.244114752251,-261.7837167856369,-17.419248644551917
0.13,10999.58427724472,-156.57457482565206,-19.511040102608362
0.14,9247.288794248798,-55.34020946818448,-20.570614024077546
0.15,6050.239334443434,21.14743117527668,-20.741577915542084
0.16,2966.42404929802,66.23074809398395,-20.304687019195782
0.17,1077.2125095963002,86.44893088845555,-19.541288624283585
0.18,639.5892740491456,95.03293980668278,-18.633879270807892
0.19,1028.5463190228686,103.37361777204285,-17.641846482914264
0.2,1420.8234986063655,115.62046686018903,-16.546876059753103
0.21,1220.1532636060344,128.82535067125102,-15.324646972095902
0.22,451.6469619561119,137.18435179906174,-13.994598459744338
0.23,-474.32062244742536,137.07098349660518,-12.623321783266004
0.24,-987.9321812469682,129.7597194781332,-11.289168268392311
0.25,-869.5802943314732,120.47215710024099,-10.03800888550044
0.26,-311.3063822032309,114.56772371756747,-8.862809481411398
0.27,235.3939949235084,114.18816178116886,-7.719030053917717
0.28,400.0442883500671,117.36535319753673,-6.5612624790241885
0.29,147.50527320503082,120.10310100531223,-5.3739202080099435
0.3,-258.8501133761075,119.54637680445684,-4.1756728189610985
0.31,-449.5892968467597,116.0041797533425,-2.997920036172102
0.32,-224.0048940169477,112.63620879902396,-1.8547180934102696
0.33,284.76466604034545,112.94000765914095,-0.7268370111194451
0.34,742.8217897009778,118.07793993784756,0.4282527268654974
0.35,837.4796609948654,125.97944719132677,1.648539662511369
0.36,500.4384047646759,132.66903752012448,2.9417820860686255
0.37,-55.24407238590567,134.89500918201833,4.27960231957934
0.38,-485.2380602544053,132.19259851881677,5.615040358083515
0.39,-575.9172648791929,126.88682189314878,6.910437460143343
0.4,-415.3305643179689,121.93058274716297,8.154524483344902
0.41,-264.0184556597539,118.53383764727435,9.356846585317088
0.42,-381.1980203629767,115.3077552671607,10.526054549889263
0.43,-839.6982241156018,109.20327404476781,11.648609696448906
0.44,-1412.3184203052774,97.94319082266341,12.684342020786062
0.45,-1738.364198458099,82.18977772884652,13.585006863543612
0.46,-1605.3126045962788,65.47139371357463,14.323312720755718
0.47,-1073.557861713915,52.07704138202366,14.91105489623371
0.48,-453.1107049825873,44.44369854854115,15.393658595886533
0.49,-97.7797620947301,41.68924621315456,15.824323319695011
0.5,-154.53829822390884,40.42765591156137,16.23490783031859
0.51,-446.1792790832496,37.424068025025576,16.624166450001525
0.52,-590.1882804475807,32.24223022737142,16.97249794126351
0.53,-340.38888451503084,27.589344402558364,17.27165581441316
0.54,265.715235404373,27.215976157005073,17.545682417210976
0.55,867.9952127775109,32.884528397914494,17.846184939985573
0.56,1034.3657760984029,42.396333342294064,18.222589248686617
0.5700000000000001,577.2974718149104,50.45464958186063,18.68684416330739
0.58,-254.84958773757725,52.066889002247294,19.19945185622793
0.59,-936.3588738697956,46.11084669421043,19.69034053471022
0.6,-1005.2792443352896,36.402656103185,20.1029080486972
0.61,-481.17138105187297,28.97040297624919,20.429773344094368
0.62,44.65589571660416,26.787825549572844,20.70856448672348
0.63,-297.88696045691535,25.521670225871286,20.970111965600697
0.64,-2098.4048597343062,13.540211124915178,21.16542137235463
0.65,-5145.524182460834,-22.67943408606052,21.119725257548904
0.66,-8329.385584577127,-90.05398292125032,20.55605817251235
