Time (s),Acceleration_RawUnits_s2,Acceleration_mm_s2,Acceleration_g
0.0,11.647450993554473,355.89433591416446,0.03627872945098516
0.01,19.59383486427653,598.7005097417829,0.06102961363320926
0.02,24.393563155606664,745.3588741990925,0.07597949787962206
0.03,5.486643865544857,167.64745144720396,0.017089444591967783
0.04,-59.34210659239026,-1813.23103476748,-0.1848349678662059
0.05,-162.63845162556373,-4969.508244114447,-0.5065757639260394
0.06,-269.25087280023183,-8227.110002229305,-0.8386452601660861
0.07,-328.54375532699663,-10038.836968324897,-1.023326908086126
0.08,-299.22263502920765,-9142.913848114678,-0.9319993728965014
0.09,-173.59466929307797,-5304.281561732938,-0.5407014843764463
0.1,14.05491321963352,429.45568171102417,0.04377733758522163
0.11,202.16546961669,6177.278238287749,0.6296919712831549
0.12,328.6552619373465,10042.244114752253,1.0236742216872836
0.13,359.98639452800904,10999.58427724472,1.1212624135825402
0.14,302.6385423572334,9247.288794248798,0.9426390208204687
0.15,198.00783276360332,6050.239334443434,0.6167420320533572
0.16,97.082968886117,2966.4240492980193,0.30238777260938016
0.17,35.254227586788005,1077.2125095963002,0.10980759526975536
0.18,20.93201260524477,639.5892740491456,0.06519768338931148
0.19,33.66151589529388,1028.5463190228686,0.1048467195741966
0.2,46.49967813620833,1420.8234986063655,0.14483419965406377
0.21,39.93228862710659,1220.1532636060344,0.12437851820652747
0.22,14.781173300381843,451.64696195611185,0.04603944566321222
0.23,-15.52322037100665,-474.32062244742536,-0.0483507260394929
0.24,-32.33232593171896,-987.9321812469682,-0.10070664436768278
0.25,-28.458991450848213,-869.5802943314732,-0.08864223183807066
0.26,-10.188208872105742,-311.30638220323095,-0.0317335761675057
0.27,7.703803470223911,235.3939949235084,0.023995310389756205
0.28,13.092358527820378,400.0442883500671,0.04077923428644925
0.29,4.827445304891918,147.50527320503082,0.015036215413356863
0.3,-8.471458255945338,-258.8501133761075,-0.026386352026106782
0.31,-14.713831533166683,-449.58929684675974,-0.04582969386817123
0.32,-7.331069258736471,-224.0048940169477,-0.022834341897752058
0.33,9.319570888593125,284.76466604034545,0.029027998576997498
0.34,24.310531299304728,742.8217897009778,0.07572087560662363
0.35000000000000003,27.40842526892287,837.4796609948654,0.08536999602394142
0.36,16.377984155934847,500.43840476467585,0.051013089170711096
0.37,-1.807987823538731,-55.24407238590567,-0.005631403912936358
0.38,-15.88051833559872,-485.2380602544053,-0.04946361470483234
0.39,-18.848201396046314,-575.9172648791929,-0.05870716257688001
0.4,-13.592636650406256,-415.3305643179689,-0.042337468330068184
0.41000000000000003,-8.640604003410129,-264.0184556597539,-0.02691319629559163
0.42,-12.475571575515602,-381.1980203629767,-0.03885810605127184
0.43,-27.481032789237876,-839.6982241156018,-0.08559614924725809
0.44,-46.22133011908181,-1412.3184203052774,-0.14396721919523725
0.45,-56.89191922226507,-1738.364198458099,-0.1772032822077573
0.46,-52.537503423150945,-1605.3126045962788,-0.16364042860308653
0.47000000000000003,-35.13462092881904,-1073.557861713915,-0.10943505216247859
0.48,-14.829077617611949,-453.1107049825873,-0.04618865494215977
0.49,-3.2000649412820765,-97.7797620947301,-0.009967355972959236
0.5,-5.057617032782471,-154.53829822390884,-0.015753139472365833
0.51,-14.602230951815443,-446.17927908324964,-0.045482087572196704
0.52,-19.315252814648098,-590.1882804475807,-0.060161904225033716
0.53,-11.139999856855555,-340.38888451503084,-0.03469815336544657
0.54,8.69613497687039,265.715235404373,0.027086160591679204
0.55,28.407116054536722,867.9952127775109,0.08848065369801335
0.56,33.851970854129554,1034.3657760984029,0.10543993640146818
0.5700000000000001,18.893371804851615,577.2974718149104,0.05884785645411931
0.58,-8.34053196232071,-254.84958773757725,-0.025978551247459455
0.59,-30.644472235738764,-936.3588738697955,-0.09544942649029516
0.6,-32.90004799642766,-1005.2792443352895,-0.10247494845415794
0.61,-15.747427016243117,-481.17138105187297,-0.049049070443616
0.62,1.4614656779979545,44.655895716604164,0.004552079074067703
0.63,-9.749027796771776,-297.88696045691535,-0.03036564326777934
0.64,-68.67506813675912,-2098.4048597343062,-0.21390467479452663
0.65,-168.39897324417277,-5145.524182460834,-0.5245182652865275
0.66,-272.59807367706964,-8329.385584577127,-0.8490709056653544
0.67,-330.51574257067927,-10099.092134104088,-1.0294691268199887
0.68,-300.1702351083994,-9171.86829497887,-0.934950896531995
0.6900000000000001,-174.43894982708142,-5330.079022494154,-0.5433311949535325
0.7000000000000001,13.492589449310083,412.27356650669697,0.04202584775807309
0.71,201.89192755298492,6168.9200085634275,0.6288399600982088
0.72,328.5385739961875,10038.678649883506,1.023310769610959
0.73,359.81110879277145,10994.228324223572,1.1207164448749818
0.74,302.7942658297574,9252.047011464809,0.9431240582532935
0.75,198.27047793264467,6058.264603497476,0.6175601022933207
0.76,97.00626620067122,2964.0803561316206,0.30214886402972685
0.77,35.66020524317569,1089.6173824303683,0.1110721083007511
0.78,20.731919498600202,633.4753180127839,0.06457444628060997
0.79,33.81236258773702,1033.1555235141866,0.1053165671268284
0.8,46.69994585653456,1426.9427900607782,0.1454579806382037
0.81,40.1884008730036,1227.978915563999,0.12517624011865433
0.8200000000000001,14.449839978991799,441.5228882469716,0.04500742999459446
0.8300000000000001,-15.291024820511348,-467.2257584045134,-0.047627498308309216
0.84,-32.330817329740555,-987.8860850754057,-0.10070194547149905
0.85,-28.55487507776285,-872.5100718205315,-0.08894088397762809
0.86,-10.208737423279244,-311.933643489088,-0.03179751717523833
0.87,7.57503891066379,231.45952227028246,0.023594242841007387
