Time (s),Acceleration_RawUnits_s2,Acceleration_mm_s2,Acceleration_g
0.0,15.139960947312783,462.6099178345572,0.047156974295061896
0.01,25.22084441233004,770.6369125989735,0.07855626020376896
0.02,31.142503792445254,951.5765047691605,0.09700066307534765
0.03,7.058419980507195,215.67394384883096,0.02198511150344862
0.04,-75.20786254652612,-2298.0180222549643,-0.23425260165697903
0.05,-207.10145667621023,-6328.100065106423,-0.6450662655562103
0.06,-342.8515363449456,-10476.019166095559,-1.0678918619873148
0.07,-417.9807176476535,-12771.633039233855,-1.3018993923785784
0.08,-380.7176496891221,-11633.039296056508,-1.1858347906275748
0.09,-220.78788094189053,-6746.296362113321,-0.6876958575039064
0.1,17.697872555930594,540.7683280978792,0.055124192466654356
0.11,257.22000875924397,7859.500267643565,0.8011723004733502
0.12,418.3449347806967,12782.761896076843,1.3030338324237354
0.13,458.00090491388795,13994.47209459102,1.4265516915994922
0.14,385.419496829912,11776.706847580645,1.2004798009766202
0.15,252.1806060009242,7705.518516694906,0.7854758936488181
0.16,123.52313255287496,3774.317939115623,0.38474188981810636
0.17,45.325347437296486,1384.9411716951704,0.1411764701014445
0.18,26.001928043695763,794.5033568907038,0.08098912914278326
0.19,43.061295854322346,1315.7618177709605,0.13412454819275846
0.2,59.329608820527454,1812.8491584050055,0.18479604061213104
0.21,51.08362074925055,1560.8884117826556,0.15911196858131046
0.22,18.352973569293965,560.7853035062045,0.057164658869133994
0.23,-19.760106717844337,-603.7810386007992,-0.0615475064832619
0.24,-41.08494507626964,-1255.3733217749057,-0.1279687382033543
0.25,-36.00821270198629,-1100.2509436718033,-0.1121560594976354
0.26,-12.99922027577183,-397.1983973152503,-0.040489133263532144
0.27,9.905562632752105,302.66996933409206,0.030853207883189813
0.28,16.77883419530915,512.686600412224,0.05226163103080775
0.29,6.011865045789254,183.6958763991161,0.01872536966351846
0.3,-10.82630783542464,-330.803850526864,-0.03372108568061814
0.31,-18.521003702563153,-565.9195575783185,-0.05768802829544531
0.32,-9.406206904752226,-287.4118776452069,-0.029297846854761153
0.33,11.926928124615868,364.4339149188182,0.03714922680110277
0.34,31.28344703776601,955.8831039317391,0.0974396640093516
0.35000000000000003,34.76056857923509,1062.1284843655167,0.10826997801891097
0.36,20.91548987547287,639.0844128616709,0.06514621945582783
0.37,-2.2025156987181846,-67.29909079416674,-0.006860253903584785
0.38,-19.829743358029283,-605.9088248286726,-0.06176440620068018
0.39,-24.057984392783368,-735.1050786683807,-0.07493425878372892
0.4,-17.28525656536701,-528.160617275103,-0.0538390027803367
0.41000000000000003,-10.766892311622849,-328.9883761884759,-0.03353602203756126
0.42,-15.702075967919807,-479.7856545753274,-0.04890781392205172
0.43,-35.34573845250735,-1080.0086749377244,-0.11009262741465081
0.44,-58.74905935927423,-1795.1101470889346,-0.18298778257787304
0.45,-72.52317164797037,-2215.98580035465,-0.2258904995264679
0.46,-67.01035133574248,-2047.5385130365758,-0.20871952222595064
0.47000000000000003,-44.88458400447466,-1371.4734001367256,-0.1398036085766285
0.48,-19.010701690458045,-580.8825516528847,-0.05921330801762331
0.49,-4.06425520795435,-124.18557579860513,-0.01265908010179461
0.5,-6.27433991860439,-191.71594195735636,-0.019542909475775368
0.51,-18.597335379423235,-568.2519143712655,-0.05792578128147456
0.52,-24.6959289057182,-754.5978276747228,-0.07692128722474238
0.53,-14.463615973633162,-441.9438214165688,-0.04505033857457379
0.54,10.991860861241456,335.86241520460004,0.034236739572334356
0.55,36.257410050843404,1107.865307109104,0.11293224333426136
0.56,43.01014485620431,1314.1988706062427,0.13396522636149263
0.5700000000000001,24.29686497295548,742.404207506973,0.07567830861437033
0.58,-10.452144955245704,-319.3710958547298,-0.03255566726347908
0.59,-39.11845518615692,-1195.2861306881282,-0.12184364227198045
0.6,-41.85082559613842,-1278.7752265486738,-0.13035425347081284
0.61,-20.17889899587864,-616.577469318514,-0.06285193367161203
0.62,1.6826772153253906,51.41513713494249,0.0052410945091684496
0.63,-12.383770633215802,-378.3929915704828,-0.03857217039454463
0.64,-87.37339384354489,-2669.7425896638715,-0.272145014236888
0.65,-214.21258604945845,-6545.384573733452,-0.6672155528780278
0.66,-347.4395839051187,-10616.20950821196,-1.0821824167392415
0.67,-420.63474778728744,-12852.72840461156,-1.3101659943538797
0.68,-382.1212525512069,-11675.927161286878,-1.190206642333015
0.6900000000000001,-221.82753559918777,-6778.063587752959,-0.690934106804583
0.7000000000000001,17.43484317276617,532.7313191678551,0.05430492550131041
0.71,256.8009547140828,7846.6958384858635,0.7998670579496293
0.72,418.14762322687704,12776.732931932353,1.3024192591164478
0.73,458.0277126866455,13995.291220980833,1.4266351907217973
0.74,385.15150615165294,11768.518243522727,1.1996450808891668
0.75,252.22307672417685,7706.8162332387365,0.785608178719545
0.76,123.5223472269826,3774.2939430466904,0.38473944373564634
0.77,45.158976636598446,1379.857619451619,0.14065826905724965
0.78,26.63348174967365,813.8008312400281,0.08295625191029847
0.79,42.98112521778281,1313.3121594322524,0.13387483786261492
0.8,59.35434176100847,1813.6048871419255,0.1848730771806244
0.81,51.200152285266704,1564.4490976053714,0.15947493349697975
0.8200000000000001,18.482458612214646,564.7417909287808,0.05756797053300518
0.8300000000000001,-19.660022186252487,-600.7229001354926,-0.06123576963664553
0.84,-41.07019455503418,-1254.922611403822,-0.12792279423076677
0.85,-36.11341743985255,-1103.4655328843833,-0.11248374443265885
0.86,-12.905726562614621,-394.3416449687801,-0.04019792507327014
0.87,10.036236513660235,306.66278236184047,0.03126022246298068
0.88,16.875591666565143,515.6430787006016,0.052563004964383445
0.89,6.405102018691081,195.71145057111636,0.019950198834976184
0.9,-10.710837390833042,-327.2755869421207,-0.033361425784110166
0.91,-18.4421730608733,-563.5108435266842,-0.05744249169487097
0.92,-9.254062797111947,-282.7630299117539,-0.02882395819691681
0.93,11.89846014348267,363.56405993974823,0.037060556568781676
0.9400000000000001,30.93878649054879,945.3518094334352,0.0963661375569251
0.9500000000000001,34.667764793667615,1059.2928131398437,0.10798091877062627
0.96,20.73116557465281,633.4522814477247,0.06457209800690364
0.97,-2.227832360383841,-68.07265545617291,-0.006939108609191938
0.98,-19.965757869589837,-610.0648237930227,-0.06218805543252015
0.99,-24.344185851333656,-743.8501232351949,-0.07582570063559581
1.0,-17.46366719597812,-533.6120532104425,-0.0543947047105446
1.01,-10.810410591182487,-330.31810139724263,-0.03367156996913788
1.02,-16.25797581688151,-496.7714832936016,-0.05063929493308885
1.03,-35.32301007867505,-1079.3141968484042,-0.11002183454112173
1.04,-58.73719918917094,-1794.7477530024453,-0.18295084128465294
1.05,-72.49263239915972,-2215.0526566409912,-0.22579537784311837
1.06,-67.0913009402373,-2050.0119731739173,-0.2089716588352617
1.07,-44.93480888334897,-1373.0080492134407,-0.1399600457913803
