Time (s),Acceleration_RawUnits_s2,Acceleration_mm_s2,Acceleration_g
0.0,8.924644637634756,272.69747503883974,0.027797907751155936
0.01,15.340137944982994,468.72643720781366,0.04778047270212168
0.02,18.91966571346741,578.100896800393,0.058929755025524264
0.03,4.346039790872689,132.7956602766655,0.013536764554196279
0.04,-45.59232302521729,-1393.0987591038615,-0.14200802845095428
0.05,-125.66742285757277,-3839.8379206480568,-0.39142078701815053
0.06,-208.0718399770243,-6357.750665964631,-0.6480887529015933
0.07,-253.87535971892356,-7757.30265807822,-0.7907546032699511
0.08,-231.1473905533733,-7062.836933575295,-0.7199629901707743
0.09,-134.18538161973987,-4100.108882825385,-0.4179519758231789
0.1,10.845749697247525,331.39790741589655,0.03378164193841963
0.11,156.02689888672944,4767.48857709451,0.48598252569770745
0.12,253.94191130736468,7759.336178836143,0.7909618938670889
0.13,278.0106347381529,8494.769394776893,0.8659296019140563
0.14,234.05584442031648,7151.706357287448,0.7290220547693627
0.15,153.0037773209712,4675.1154181407865,0.4765663015434033
0.16,74.91496461570607,2289.068363257685,0.23334030206500359
0.17,27.508308792135296,840.5316575374673,0.08568110678261644
0.18,15.91925287985371,486.4216157733078,0.04958426256608642
0.19,26.09069080662612,797.215552424687,0.08126560167428001
0.2,36.029246610615445,1100.893646435472,0.11222157456019083
0.21,31.103340832202814,950.3798587617526,0.09687868081159558
0.22,11.399208760302196,348.3091565647893,0.03550552054686945
0.23,-11.948496723664157,-365.0929554452936,-0.03721640728290455
0.24,-25.019455689784046,-764.4833682989569,-0.0779289875941852
0.25,-21.892769034256123,-668.9457204911592,-0.06819018557504172
0.26,-7.848376328724147,-239.8114989332378,-0.02444561660889274
0.27,5.698646427405265,174.12530750404974,0.017749776503980606
0.28,10.152431857114943,310.2131956340677,0.03162214022773371
0.29,3.820735089990337,116.74468330526028,0.01190057933794702
0.3,-6.551430729423062,-200.18260562126022,-0.020405974069445488
0.31,-11.283656829350702,-344.77840311904924,-0.035145606841901045
0.32,-5.706055046319723,-174.35168197088043,-0.017772852392546425
0.33,7.419854653619605,226.71778108282123,0.023110884921796252
0.34,18.69163953847641,571.1334303423347,0.05821951379636439
0.35000000000000003,21.155146688893577,646.4072599384148,0.0658926870477487
0.36,12.522394194389959,382.6287114952487,0.039003946125917295
0.37,-1.3184144267546976,-40.28488526194909,-0.0041065122591181545
0.38,-12.154566172957294,-371.38952195147283,-0.037858259118396825
0.39,-14.793888584377104,-452.0354845226337,-0.046079050410054403
0.4,-10.653957052797903,-325.53757661326927,-0.03318425857423744
0.41000000000000003,-6.559608856645777,-200.43249284195429,-0.02043144677288015
0.42,-9.698450546707603,-296.3415444827323,-0.030208108509962514
0.43,-21.378460746559,-653.2307450337472,-0.06658825127765007
0.44,-35.5987892164069,-1087.740781612433,-0.11088081362002375
0.45,-44.09920593898415,-1347.4757370245156,-0.13735736361106174
0.46,-40.80226309713653,-1246.7358168569494,-0.1270882585990774
0.47000000000000003,-27.116631508462753,-828.5637405363618,-0.08446113563061793
0.48,-11.441742249722845,-349.60879096375356,-0.035638001117609945
0.49,-2.3745974995350516,-72.55714581912657,-0.007396243202765196
0.5,-4.008000129804378,-122.46667063291154,-0.012483860411102094
0.51,-11.2903263211725,-344.9821931469375,-0.0351663805450497
0.52,-14.919131662368724,-455.86235635015544,-0.04646914947504133
0.53,-8.584341408619988,-262.29932081894407,-0.026737953192552913
0.54,6.4338211748075,196.58898034134026,0.02003965141094192
0.55,21.918147650738458,669.7211782170084,0.06826923325351768
0.56,26.415720238104825,807.1470072754252,0.0822779823930097
0.5700000000000001,14.725612771451562,449.94927912768657,0.04586638930965205
0.58,-6.37773500451591,-194.87523624909724,-0.01986495782355731
0.59,-23.609936982303516,-721.4147411259407,-0.07353870959489713
0.6,-25.337475195141316,-774.2006309626513,-0.07891953424695732
0.61,-12.202368803330897,-372.8501578795552,-0.038007151669679426
0.62,1.1841023659696328,36.18090562684989,0.0036881657111977463
